product_id,url,title,brand,discount_rate,current_price,original_price,stars,ratings,reviews,sellername,sellerstars,main_picture,left_pictures,right_pictures
itmce6f39bfd18b1,https://www.flipkart.com/terquois-women-fit-flare-green-dress/p/itmce6f39bfd18b1?pid=DREGKVFHQZNBZEWZ&lid=LSTDREGKVFHQZNBZEWZOH0RX1&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_2_57&otracker=browse&fm=organic&iid=en_3CS2nMkOhRZJ31xB1d7owFx1uasa2B0H6dyBCtNApc%2FNrSxERtMHLhPlonVHhtJzzZRBMt9UnJb7R8d%2FNGDyng%3D%3D&ppt=None&ppn=None&ssid=2ns1hnn2vk0000001684427493087,Women Fit and Flare Green Dress,Terquois ,50% ,"₹3,300","6,600",3,3,0,TERQUOIS KLOTHING,2.7,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/n/b/i/xxl-6634-terquois-original-imagkvfk3c2jkpkz.jpeg?q=70,"https://rukminim1.flixcart.com/image/832/832/xif0q/dress/n/b/i/xxl-6634-terquois-original-imagkvfk3c2jkpkz.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/r/r/9/xxl-6634-terquois-original-imagkvfkjsyjqzbh.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/b/m/h/xxl-6634-terquois-original-imagkvfkrwhesyhk.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/a/j/k/xxl-6634-terquois-original-imagkvfkynwrzmjk.jpeg?q=70","https://rukminim1.flixcart.com/image/832/832/xif0q/dress/n/b/i/xxl-6634-terquois-original-imagkvfk3c2jkpkz.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/u/q/t/l-6634-terquois-original-imagkvfhsghhnjyc.jpeg?q=50"
itm88deeb53bb038,https://www.flipkart.com/aayu-women-bodycon-maroon-dress/p/itm88deeb53bb038?pid=DREGGDFRPHG8TUDX&lid=LSTDREGGDFRPHG8TUDXFHYNOI&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_2_59&otracker=browse&fm=organic&iid=c9cb4c99-42f5-4d1e-961a-554bb11b6af6.DREGGDFRPHG8TUDX.SEARCH&ppt=None&ppn=None&ssid=2ns1hnn2vk0000001684427493087,Women Bodycon Maroon Dress,AAYU ,66% ,₹499,"1,499",4.2,489,419,Aayucreationpvtltd,4.8,https://rukminim1.flixcart.com/image/400/400/xif0q/dress/m/w/7/m-aa-0163-brown-smoking-dress-aayu-original-imaggdfadqe76tt2.jpeg?q=70,"https://rukminim1.flixcart.com/image/832/832/xif0q/dress/m/w/7/m-aa-0163-brown-smoking-dress-aayu-original-imaggdfadqe76tt2.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/n/p/o/m-aa-0163-brown-smoking-dress-aayu-original-imaggdfafcswhytx.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/b/t/d/m-aa-0163-brown-smoking-dress-aayu-original-imaggdfannwgyrzf.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/e/f/x/m-aa-0163-brown-smoking-dress-aayu-original-imaggdfaqfs6xfkj.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/4/s/d/m-aa-0163-brown-smoking-dress-aayu-original-imaggdfagu7rq796.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/b/o/i/m-aa-0163-brown-smoking-dress-aayu-original-imaggdfasztwesws.jpeg?q=70","https://rukminim1.flixcart.com/image/832/832/xif0q/dress/s/9/b/xl-aa-0163-black-smoking-dress-aayu-original-imaggdfgfasgrkt3.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/m/w/7/m-aa-0163-brown-smoking-dress-aayu-original-imaggdfadqe76tt2.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/h/j/d/m-aa-0163-dark-blue-smoking-dress-aayu-original-imaggdf9fcfvzhxz.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/l/k/e/xl-aa-0163-green-smoking-dress-aayu-original-imaggdfgzkykvwxh.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/4/x/u/xl-aa-0163-light-blue-smoking-dress-aayu-original-imaggdfawuqjhgex.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/u/k/q/xl-aa-0163-peach-smoking-dress-aayu-original-imaggdfeqmfqtqun.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/0/z/c/s-aa-0163-purpel-smoking-dress-aayu-original-imaggdfewpwzuxwu.jpeg?q=50"
itmb7944c3766e05,https://www.flipkart.com/terquois-women-a-line-beige-blue-yellow-dress/p/itmb7944c3766e05?pid=DREGKVFK8XJFB7HK&lid=LSTDREGKVFK8XJFB7HKWUGQGR&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_2_62&otracker=browse&fm=organic&iid=en_3CS2nMkOhRZJ31xB1d7owFx1uasa2B0H6dyBCtNApc9WOaqCfo2Kr%2BtfqFdcFf8ZocGxMtnY0Kaf3QAOroNi7Q%3D%3D&ppt=None&ppn=None&ssid=2ns1hnn2vk0000001684427493087,"Women A-line Beige, Blue, Yellow Dress",Terquois ,50% ,"₹2,850","5,700",,,,TERQUOIS KLOTHING,2.7,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/u/u/h/s-6591-terquois-original-imagkvfkknhcvbfy.jpeg?q=70,"https://rukminim1.flixcart.com/image/832/832/xif0q/dress/u/u/h/s-6591-terquois-original-imagkvfkknhcvbfy.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/y/s/y/s-6591-terquois-original-imagkvfkagpzzug3.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/5/d/j/s-6591-terquois-original-imagkvfkjab36k42.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/p/r/e/s-6591-terquois-original-imagkvfkhudatrgr.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/b/q/v/m-6591-terquois-original-imagkvfktsbwg4bz.jpeg?q=70","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzOCIgaGVpZ2h0PSIxMiI+PGcgZmlsbD0ibm9uZSIgZmlsbC1ydWxlPSJldmVub2RkIiBzdHJva2U9IiMyODc0RjAiIHN0cm9rZS13aWR0aD0iMS4zIj48cGF0aCBmaWxsPSIjRkZGIiBmaWxsLXJ1bGU9Im5vbnplcm8iIGQ9Ik0zNy4zNS42NUguNjV2MTAuN2gzNi43Vi42NXoiLz48cGF0aCBmaWxsPSIjODc4Nzg3IiBkPSJNNi42NSA4LjY1aDF2Mi43aC0xem00LTNIMTFsLS4zNS0uMzVWNWwtLjE1LjE1LS4xNS0uMTV2LjNsLS4zNS4zNWguMzV2NS43SDEwbC4zNS4zNXYuM2wuMTUtLjE1LjE1LjE1di0uM2wuMzUtLjM1aC0uMzV2LTUuN3ptNSAzSDE2bC0uMzUtLjM1VjhsLS4xNS4xNS0uMTUtLjE1di4zbC0uMzUuMzVoLjM1djIuN0gxNWwuMzUuMzV2LjNsLjE1LS4xNS4xNS4xNXYtLjNsLjM1LS4zNWgtLjM1di0yLjd6bTQtM2gxdjUuN2gtMXptNCAzaDF2Mi43aC0xem05IDBoMXYyLjdoLTF6bS00LTNoMXY1LjdoLTF6Ii8+PC9nPjwvc3ZnPg=="
itm4af971db30d50,https://www.flipkart.com/terquois-women-a-line-dark-blue-dress/p/itm4af971db30d50?pid=DREGB87HFRVZ64XC&lid=LSTDREGB87HFRVZ64XCEGKEYC&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_2_77&otracker=browse&fm=organic&iid=en_3CS2nMkOhRZJ31xB1d7owFx1uasa2B0H6dyBCtNApc9rnqFsawk3z2VtXR%2BHS%2BqjBZyXpblIQg5uS2o%2B4I42aA%3D%3D&ppt=None&ppn=None&ssid=2ns1hnn2vk0000001684427493087,Women A-line Dark Blue Dress,Terquois ,50% ,"₹2,297","4,595",4.6,5,1,TERQUOIS KLOTHING,2.7,https://rukminim1.flixcart.com/image/832/832/kz5vwy80/dress/g/z/h/xxl-6139-terquois-original-imagb87hvqjycfz4.jpeg?q=70,"https://rukminim1.flixcart.com/image/832/832/kz5vwy80/dress/g/z/h/xxl-6139-terquois-original-imagb87hvqjycfz4.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/kz5vwy80/dress/f/e/y/xxl-6139-terquois-original-imagb87hmnrnheh7.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/kz5vwy80/dress/5/c/s/xxl-6139-terquois-original-imagb87hdbzsyhpg.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/kz5vwy80/dress/n/d/c/xxl-6139-terquois-original-imagb87hqhhgfffh.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/kz5vwy80/dress/l/8/x/xxl-6139-terquois-original-imagb87hrhnagyfa.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/kz5vwy80/dress/o/t/e/xxl-6139-terquois-original-imagb87hgcszngey.jpeg?q=70","https://rukminim1.flixcart.com/image/832/832/xif0q/dress/y/f/q/s-6139-terquois-original-imagj3prcg5z2v2u.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/kz5vwy80/dress/g/z/h/xxl-6139-terquois-original-imagb87hvqjycfz4.jpeg?q=50"
itm0f29443123f61,https://www.flipkart.com/terquois-women-a-line-blue-dress/p/itm0f29443123f61?pid=DREGKVFKEZHRNREB&lid=LSTDREGKVFKEZHRNREBMKSCVT&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_2_78&otracker=browse&fm=organic&iid=en_3CS2nMkOhRZJ31xB1d7owFx1uasa2B0H6dyBCtNApc9c5YQXKTnftThxkngKii9BrWNKkBoUk908eSMmvsERcw%3D%3D&ppt=None&ppn=None&ssid=2ns1hnn2vk0000001684427493087,Women A-line Blue Dress,Terquois ,50% ,"₹2,850","5,700",,,,TERQUOIS KLOTHING,2.7,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/5/7/8/xxl-6627-terquois-original-imagkvfkfvfnzrzh.jpeg?q=70,"https://rukminim1.flixcart.com/image/832/832/xif0q/dress/5/7/8/xxl-6627-terquois-original-imagkvfkfvfnzrzh.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/2/d/4/xxl-6627-terquois-original-imagkvfkrrhhf8qz.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/z/x/y/xxl-6627-terquois-original-imagkvfkdxey2cyg.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/o/o/2/xxl-6627-terquois-original-imagkvfkv7ggtmz7.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/v/l/p/xxl-6627-terquois-original-imagkvfkztg8nzcq.jpeg?q=70","https://rukminim1.flixcart.com/image/832/832/xif0q/dress/5/7/8/xxl-6627-terquois-original-imagkvfkfvfnzrzh.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/u/r/b/m-6627-terquois-original-imagkvfk8fsrkgrf.jpeg?q=50"
itm58111e576f5f4,https://www.flipkart.com/terquois-women-high-low-multicolor-dress/p/itm58111e576f5f4?pid=DREFXYWB74VAM9U8&lid=LSTDREFXYWB74VAM9U8FM50L8&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_1&otracker=browse&fm=organic&iid=en_hmAC0dXyf8K4R5poE5dWTixP32UsCshaZH1CksUSgXfy3COQhSHMNGiXDKH7Ax1%2BUpiqKfE5iRcUgj09nbB5lg%3D%3D&ppt=None&ppn=None&ssid=ce5yudbxcg0000001684427510920,Women High Low Multicolor Dress,Terquois ,50% ,"₹1,549","3,099",3.9,181,21,TERQUOIS KLOTHING,2.7,https://rukminim1.flixcart.com/image/400/400/ki3gknk0-0/dress/2/7/h/s-4590-terquois-original-imafxywb3xahjbkh.jpeg?q=70,"https://rukminim1.flixcart.com/image/832/832/ki3gknk0-0/dress/2/7/h/s-4590-terquois-original-imafxywb3xahjbkh.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/ki3gknk0-0/dress/m/n/r/s-4590-terquois-original-imafxywb2tz9mh4d.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/ki3gknk0-0/dress/d/q/o/s-4590-terquois-original-imafxywb8amyqtkg.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/ki3gknk0-0/dress/o/h/r/s-4590-terquois-original-imafxywbqrfepkag.jpeg?q=70","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzOCIgaGVpZ2h0PSIxMiI+PGcgZmlsbD0ibm9uZSIgZmlsbC1ydWxlPSJldmVub2RkIiBzdHJva2U9IiMyODc0RjAiIHN0cm9rZS13aWR0aD0iMS4zIj48cGF0aCBmaWxsPSIjRkZGIiBmaWxsLXJ1bGU9Im5vbnplcm8iIGQ9Ik0zNy4zNS42NUguNjV2MTAuN2gzNi43Vi42NXoiLz48cGF0aCBmaWxsPSIjODc4Nzg3IiBkPSJNNi42NSA4LjY1aDF2Mi43aC0xem00LTNIMTFsLS4zNS0uMzVWNWwtLjE1LjE1LS4xNS0uMTV2LjNsLS4zNS4zNWguMzV2NS43SDEwbC4zNS4zNXYuM2wuMTUtLjE1LjE1LjE1di0uM2wuMzUtLjM1aC0uMzV2LTUuN3ptNSAzSDE2bC0uMzUtLjM1VjhsLS4xNS4xNS0uMTUtLjE1di4zbC0uMzUuMzVoLjM1djIuN0gxNWwuMzUuMzV2LjNsLjE1LS4xNS4xNS4xNXYtLjNsLjM1LS4zNWgtLjM1di0yLjd6bTQtM2gxdjUuN2gtMXptNCAzaDF2Mi43aC0xem05IDBoMXYyLjdoLTF6bS00LTNoMXY1LjdoLTF6Ii8+PC9nPjwvc3ZnPg=="
itmdf0b0668932af,https://www.flipkart.com/terquois-women-a-line-pink-dress/p/itmdf0b0668932af?pid=DREGCGX3UJU23ZKY&lid=LSTDREGCGX3UJU23ZKYXA81VS&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_2&otracker=browse&fm=organic&iid=en_hmAC0dXyf8K4R5poE5dWTixP32UsCshaZH1CksUSgXekSBiDJmQykWMnNCkQb%2F6MtAb6EYOSike6hW%2ByVuZ8HA%3D%3D&ppt=None&ppn=None&ssid=ce5yudbxcg0000001684427510920,Women A-line Pink Dress,Terquois ,50% ,"₹1,847","3,695",4,46,4,TERQUOIS KLOTHING,2.7,https://rukminim1.flixcart.com/image/832/832/l0tweq80/dress/s/u/t/l-6134-terquois-original-imagcgx2qztqd2jf.jpeg?q=70,"https://rukminim1.flixcart.com/image/832/832/l0tweq80/dress/s/u/t/l-6134-terquois-original-imagcgx2qztqd2jf.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/l0tweq80/dress/r/r/m/l-6134-terquois-original-imagcgx2hugatwex.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/l0tweq80/dress/0/a/s/l-6134-terquois-original-imagcgx2nfqmjdyf.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/l0tweq80/dress/g/x/n/l-6134-terquois-original-imagcgx2fzpysxau.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/l0tweq80/dress/p/l/e/l-6134-terquois-original-imagcgx2nvzygnp2.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/l0tweq80/dress/r/q/n/l-6134-terquois-original-imagcgx2aehqjkay.jpeg?q=70","https://rukminim1.flixcart.com/image/832/832/l0tweq80/dress/s/u/t/l-6134-terquois-original-imagcgx2qztqd2jf.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/ksuowi80/dress/k/n/o/s-6134-terquois-original-imag6btgqkuyvczj.jpeg?q=50"
itmea2ccc567d5af,https://www.flipkart.com/daevish-women-maxi-blue-dress/p/itmea2ccc567d5af?pid=DREG8ZFGMGGC5HU9&lid=LSTDREG8ZFGMGGC5HU956U0ME&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&spotlightTagId=BestsellerId_clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_3&otracker=browse&fm=organic&iid=9c5bad3d-7803-46be-ba53-5b7ebbb03bcb.DREG8ZFGMGGC5HU9.SEARCH&ppt=None&ppn=None&ssid=ce5yudbxcg0000001684427510920,Women Maxi Blue Dress,Daevish ,81% ,₹359,"1,899",4.2,,,Daevish,4.7,https://rukminim1.flixcart.com/image/832/832/xif0q/kurta/1/h/g/m-pw333-purshottam-wala-original-imag8zf6ybkmhehy-bb.jpeg?q=70,"https://rukminim1.flixcart.com/image/832/832/xif0q/kurta/1/h/g/m-pw333-purshottam-wala-original-imag8zf6ybkmhehy-bb.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/shopsy-dress/r/9/m/xs-dks333-dk-fab-original-imag8zf6xefgrkfj.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/s/t/z/xs-dk333-dk-fab-original-imag8zf6vbjhytyr.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/shopsy-dress/r/l/f/xs-dks333-dk-fab-original-imag8zfgwjcgqvfg.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/kurta/d/x/e/xs-pw333-purshottam-wala-original-imag8zf6nthdfeft.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/kurta/l/4/8/xs-pw333-purshottam-wala-original-imag8zfgb5nmeems.jpeg?q=70","https://rukminim1.flixcart.com/image/832/832/xif0q/dress/i/5/w/m-dv333-daevish-original-imaga8zhya5kgvgw-bb.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/kurta/1/h/g/m-pw333-purshottam-wala-original-imag8zf6ybkmhehy-bb.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/u/u/a/xs-dk333-dk-fab-original-imag89k7mw5hc3zd.jpeg?q=50"
itmc728016cfad50,https://www.flipkart.com/purshottam-wala-women-fit-flare-black-dress/p/itmc728016cfad50?pid=DREG8SSXNXJDYYNG&lid=LSTDREG8SSXNXJDYYNGTON5ZJ&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_4&otracker=browse&fm=organic&iid=9c5bad3d-7803-46be-ba53-5b7ebbb03bcb.DREG8SSXNXJDYYNG.SEARCH&ppt=None&ppn=None&ssid=ce5yudbxcg0000001684427510920,Women Fit and Flare Black Dress,Purshottam Wala ,81% ,₹389,"2,099",4.2,,,Purshottam Wala,4.5,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/q/7/v/s-pwd322-purshottam-wala-original-imagm7ypaavduvnm.jpeg?q=70,"https://rukminim1.flixcart.com/image/832/832/xif0q/dress/q/7/v/s-pwd322-purshottam-wala-original-imagm7ypaavduvnm.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/q/7/v/s-pwd322-purshottam-wala-original-imagm7ypaavduvnm.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/w/z/a/s-pwd322-purshottam-wala-original-imagm7ypp8g7r9mk.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/1/2/o/s-pwd322-purshottam-wala-original-imagm7ypjvj7pwre.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/g/8/p/s-pwd322-purshottam-wala-original-imagm7ypayrv5wgh.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/o/b/8/s-pwd322-purshottam-wala-original-imagm7ypz5jh5ykb.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/r/n/w/s-pwd322-purshottam-wala-original-imagm7ypfm5pgz8w.jpeg?q=70","https://rukminim1.flixcart.com/image/832/832/xif0q/dress/q/7/v/s-pwd322-purshottam-wala-original-imagm7ypaavduvnm.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/e/a/p/s-pwd322-purshottam-wala-original-imagm6ywr7vz95sz.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/b/l/k/s-pwd322-purshottam-wala-original-imagk3ag2ry7acsh.jpeg?q=50"
itmce6f39bfd18b1,https://www.flipkart.com/terquois-women-fit-flare-green-dress/p/itmce6f39bfd18b1?pid=DREGKVFHQZNBZEWZ&lid=LSTDREGKVFHQZNBZEWZOH0RX1&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_12&otracker=browse&fm=organic&iid=en_hmAC0dXyf8K4R5poE5dWTixP32UsCshaZH1CksUSgXceuKMddnzv1pL2tecKtMv7odKfcJQwZHUEtaAfJ6EYtQ%3D%3D&ppt=None&ppn=None&ssid=ce5yudbxcg0000001684427510920,Women Fit and Flare Green Dress,Terquois ,50% ,"₹3,300","6,600",3,3,0,TERQUOIS KLOTHING,2.7,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/n/b/i/xxl-6634-terquois-original-imagkvfk3c2jkpkz.jpeg?q=70,"https://rukminim1.flixcart.com/image/832/832/xif0q/dress/n/b/i/xxl-6634-terquois-original-imagkvfk3c2jkpkz.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/r/r/9/xxl-6634-terquois-original-imagkvfkjsyjqzbh.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/b/m/h/xxl-6634-terquois-original-imagkvfkrwhesyhk.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/a/j/k/xxl-6634-terquois-original-imagkvfkynwrzmjk.jpeg?q=70","https://rukminim1.flixcart.com/image/832/832/xif0q/dress/n/b/i/xxl-6634-terquois-original-imagkvfk3c2jkpkz.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/u/q/t/l-6634-terquois-original-imagkvfhsghhnjyc.jpeg?q=50"
itm3aea397e34e8b,https://www.flipkart.com/aayu-women-fit-flare-yellow-dress/p/itm3aea397e34e8b?pid=DREGMMHGJEZMPNAH&lid=LSTDREGMMHGJEZMPNAHETPSHL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_13&otracker=browse&fm=organic&iid=9c5bad3d-7803-46be-ba53-5b7ebbb03bcb.DREGMMHGJEZMPNAH.SEARCH&ppt=None&ppn=None&ssid=ce5yudbxcg0000001684427510920,Women Fit and Flare Yellow Dress,AAYU ,67% ,₹649,"1,999",4.3,986,102,Aayucreationpvtltd,4.8,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/v/i/b/l-aa-00190-yellow-aayu-original-imagmmharbdyr9pq.jpeg?q=70,"https://rukminim1.flixcart.com/image/832/832/xif0q/dress/v/i/b/l-aa-00190-yellow-aayu-original-imagmmharbdyr9pq.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/o/g/p/l-aa-00190-yellow-aayu-original-imagmmha5fhgv6ge.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/o/d/n/l-aa-00190-yellow-aayu-original-imagmmhavww3fzft.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/w/e/5/l-aa-00190-yellow-aayu-original-imagmmhavz4xm3tb.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/j/q/l/l-aa-00190-yellow-aayu-original-imagmmhayvgws7we.jpeg?q=70,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/y/7/g/l-aa-00190-yellow-aayu-original-imagmmhadpjffpha.jpeg?q=70","https://rukminim1.flixcart.com/image/832/832/xif0q/dress/f/h/q/s-aa-00190-black-aayu-original-imagmhgzbusgtxjz.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/l/s/k/xl-aa-00190-white-blue-aayu-original-imagmmhyfndhzbyj.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/n/4/l/m-aa-00190-green-aayu-original-imagmhg9sbvy8tra.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/z/b/p/m-aa-00190-light-green-aayu-original-imagmmfhad4hhrr6.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/4/g/v/s-aa-00190-pink-aayu-original-imagmuaa25psucdz.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/k/6/p/m-aa-00190-peach-aayu-original-imagmua664zmpwvf.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/u/h/m/xl-aa-00190-white-pink-aayu-original-imagmmh5cyv6qsey.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/8/a/0/s-aa-00190-purple-aayu-original-imagmmfhhgdtzfg7.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/j/o/t/s-aa-00190-red-aayu-original-imagmmfrpzhhhaxt.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/e/t/c/s-aa-00190-white-aayu-original-imagmmfxvzmvhyru.jpeg?q=50,https://rukminim1.flixcart.com/image/832/832/xif0q/dress/v/i/b/l-aa-00190-yellow-aayu-original-imagmmharbdyr9pq.jpeg?q=50"
